127.0.0.1 - - [23/Nov/2017:14:30:41 -0600] "GET / HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:30:41 -0600] "GET /MVCDaoProject/ HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:26 -0600] "POST /MVCDaoProject/PensionerSignUpServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:26 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:30 -0600] "POST /MVCDaoProject/PensionerSignUpServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:30 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:31 -0600] "POST /MVCDaoProject/PensionerSignUpServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:31 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:31 -0600] "POST /MVCDaoProject/PensionerSignUpServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:31 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:31 -0600] "POST /MVCDaoProject/PensionerSignUpServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:31 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:32 -0600] "POST /MVCDaoProject/PensionerSignUpServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:32 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:33 -0600] "POST /MVCDaoProject/PensionerLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:33 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:33 -0600] "POST /MVCDaoProject/PensionerLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:33 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:33 -0600] "POST /MVCDaoProject/PensionerLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:33 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:33 -0600] "POST /MVCDaoProject/PensionerLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:33 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:34 -0600] "POST /MVCDaoProject/PensionerLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:34 -0600] "GET /MVCDaoProject/Signup.jsp HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:52 -0600] "POST /MVCDaoProject/PensionerLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:31:52 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:02 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:02 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:02 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:02 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:03 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:03 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:03 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:03 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:03 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:03 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:04 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:04 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:04 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:04 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:04 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:04 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:04 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:04 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:05 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:05 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:05 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:05 -0600] "GET /MVCDaoProject/Home.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [23/Nov/2017:14:32:05 -0600] "POST /MVCDaoProject/CommentServlet HTTP/1.1" 302 -
